HOME_TEAM_WINS,FGP_H,FG3P_H,FTP_H,DREB_H,AST_H,STL_H,BLK_H,RANKING_H
NO,0.53,0.47,0.74,29,22,7,3,0.444
NO,0.4,0.35,0.78,28,27,8,4,0.731
YES,0.37,0.12,0.74,40,14,7,7,0.444
YES,0.46,0.46,0.74,30,29,10,4,0.704
NO,0.4,0.32,0.81,28,17,11,4,0.172
NO,0.35,0.2,0.89,28,15,7,6,0.5
YES,0.43,0.35,0.8,27,18,10,3,0.714
YES,0.48,0.41,0.69,34,21,8,3,0.296
YES,0.47,0.29,0.77,32,18,9,3,0.464
YES,0.53,0.4,0.76,34,29,9,4,0.423
NO,0.47,0.45,0.79,34,23,8,1,0.192
YES,0.48,0.3,0.69,34,15,8,7,0.444
YES,0.61,0.5,0.6,29,34,2,4,0.615
NO,0.46,0.25,0.75,31,17,7,5,0.464
YES,0.49,0.42,0.74,27,24,7,4,0.786
NO,0.42,0.3,0.55,30,21,11,6,0.333
NO,0.41,0.21,0.72,27,11,11,4,0.731
NO,0.43,0.39,0.65,34,23,12,5,0.69
YES,0.54,0.42,0.67,38,23,6,6,0.321
YES,0.64,0.57,0.64,31,37,6,2,0.621
YES,0.47,0.36,0.75,35,22,14,3,0.741
YES,0.54,0.36,0.88,35,36,9,6,0.885
YES,0.54,0.5,0.91,29,20,4,13,0.667
NO,0.44,0.3,0.89,29,22,4,3,0.75
YES,0.47,0.39,0.65,38,23,7,4,0.355
NO,0.48,0.38,0.75,31,25,7,6,0.483
NO,0.43,0.56,0.62,34,21,7,5,0.704
YES,0.45,0.39,0.72,30,30,12,3,0.533
YES,0.47,0.26,0.71,27,21,10,3,0.444
YES,0.52,0.46,0.65,29,28,11,10,0.321
YES,0.45,0.52,0.77,34,28,6,3,0.75
YES,0.52,0.5,0.81,26,24,11,6,0.63
YES,0.5,0.33,0.72,35,24,9,12,0.345
NO,0.41,0.31,0.72,25,13,10,6,0.448
NO,0.46,0.32,0.87,40,20,8,5,0.448
YES,0.48,0.33,0.82,31,27,8,3,0.467
YES,0.39,0.28,0.74,39,18,10,4,0.667
YES,0.49,0.42,0.76,37,27,1,7,0.69
NO,0.52,0.3,0.71,28,33,8,5,0.6
NO,0.45,0.18,0.79,30,17,5,4,0.161
NO,0.52,0.38,0.73,32,32,8,3,0.37
YES,0.41,0.3,0.86,44,18,6,10,0.484
NO,0.49,0.43,0.67,31,25,8,4,0.344
NO,0.41,0.29,0.78,29,31,8,4,0.724
YES,0.55,0.38,0.52,30,25,11,6,0.207
YES,0.51,0.28,0.54,34,20,9,6,0.677
NO,0.41,0.17,0.79,30,20,8,4,0.724
YES,0.41,0.16,0.78,40,18,1,6,0.433
YES,0.48,0.42,0.86,39,25,10,8,0.774
NO,0.44,0.35,0.71,30,18,8,2,0.414
YES,0.42,0.35,0.88,37,25,8,7,0.517
NO,0.39,0.4,0.79,34,21,5,10,0.484
YES,0.5,0.38,0.6,39,28,11,4,0.724
NO,0.36,0.28,0.81,30,15,2,4,0.448
NO,0.51,0.3,0.71,26,18,10,4,0.452
YES,0.47,0.39,0.81,34,32,17,6,0.828
YES,0.46,0.3,0.86,30,19,8,6,0.7
YES,0.55,0.5,0.88,29,23,9,7,0.433
NO,0.42,0.33,0.78,32,18,2,8,0.323
YES,0.36,0.17,0.86,41,17,11,10,0.333
NO,0.46,0.48,0.8,34,26,4,7,0.645
NO,0.38,0.17,0.76,36,25,4,5,0.6
YES,0.47,0.37,0.88,27,22,12,6,0.594
YES,0.47,0.44,0.75,41,25,8,7,0.781
YES,0.44,0.32,0.86,30,26,8,6,0.688
NO,0.52,0.6,0.55,31,22,8,6,0.29
NO,0.43,0.24,0.71,34,18,3,2,0.419
NO,0.43,0.38,0.62,37,18,5,8,0.344
NO,0.37,0.28,0.81,39,20,13,9,0.313
NO,0.52,0.5,0.7,30,18,9,3,0.438
YES,0.45,0.38,0.69,26,20,12,3,0.467
YES,0.46,0.43,0.77,34,24,7,12,0.656
NO,0.47,0.31,0.61,26,19,11,1,0.7
NO,0.38,0.32,0.53,35,22,5,11,0.688
YES,0.51,0.34,0.73,37,23,13,5,0.742
NO,0.45,0.2,0.6,35,19,7,3,0.371
NO,0.45,0.31,0.63,28,25,13,7,0.406
YES,0.48,0.37,0.77,32,16,5,3,0.344
YES,0.56,0.43,0.81,34,38,19,11,0.833
YES,0.52,0.44,0.62,36,19,4,2,0.516
YES,0.49,0.47,0.82,32,25,10,5,0.742
YES,0.4,0.33,0.78,36,21,5,8,0.788
YES,0.52,0.53,0.69,31,21,11,5,0.697
YES,0.43,0.4,0.64,31,22,10,7,0.71
YES,0.44,0.56,0.87,28,23,4,4,0.364
NO,0.34,0.26,0.88,36,19,5,5,0.563
YES,0.44,0.25,0.61,40,24,5,7,0.588
YES,0.44,0.44,0.6,45,28,6,3,0.667
YES,0.41,0.31,0.9,31,22,6,4,0.485
YES,0.47,0.24,0.87,40,32,9,7,0.379
YES,0.42,0.53,0.88,33,22,7,18,0.697
NO,0.46,0.29,0.73,23,22,12,6,0.161
NO,0.37,0.32,0.75,30,18,6,9,0.333
NO,0.42,0.5,0.65,29,22,13,3,0.361
NO,0.37,0.21,0.65,35,20,5,6,0.294
NO,0.43,0.35,0.68,29,22,6,2,0.367
NO,0.35,0.42,0.5,30,18,13,4,0.143
YES,0.53,0.47,0.8,37,24,12,8,0.515
NO,0.43,0.29,0.8,33,28,10,7,0.5
NO,0.53,0.32,0.74,33,24,10,8,0.303
YES,0.5,0.44,0.88,35,24,9,12,0.543
YES,0.53,0.43,0.8,31,35,8,8,0.839
YES,0.53,0.42,0.68,32,21,8,4,0.5
NO,0.45,0.39,0.83,33,24,6,7,0.765
YES,0.37,0.21,0.72,35,19,10,9,0.706
NO,0.38,0.21,0.95,32,18,9,3,0.351
YES,0.52,0.47,0.81,40,21,6,8,0.412
YES,0.49,0.42,0.71,31,21,13,1,0.697
YES,0.54,0.41,0.77,34,33,13,3,0.676
NO,0.4,0.32,0.83,23,17,8,5,0.156
YES,0.55,0.25,0.61,29,27,4,5,0.6
YES,0.46,0.36,0.75,34,21,8,9,0.429
NO,0.41,0.32,0.71,26,26,6,3,0.559
YES,0.38,0.33,0.93,32,14,8,3,0.324
NO,0.41,0.36,0.79,29,23,8,2,0.139
YES,0.49,0.39,0.75,41,21,8,3,0.303
YES,0.54,0.35,0.75,33,26,15,2,0.556
NO,0.45,0.28,0.76,37,23,5,5,0.657
NO,0.4,0.39,0.7,23,22,8,7,0.344
YES,0.48,0.3,0.8,35,31,5,8,0.152
NO,0.39,0.12,0.83,45,20,5,7,0.471
